Riot Games Name,Riot Games Tag Line,Summoner Level,Summoner Points,Summoner Wins,Summoner Losses,Is Veteran?,Is Inactive?,Is Fresh Blood?,Is Hot Streak?,Summoner Tier
khánh trầm tính,1121,480,336,122,90,False,False,True,False,Grandmaster
trần văn phong,VN200,272,437,135,111,False,False,False,True,Grandmaster
Apricot Nam,2003,261,318,182,154,False,False,True,False,Grandmaster
AnAnMia,2000,514,258,68,39,False,False,True,False,Grandmaster
Shine Lầm,0000,2,303,138,110,False,False,True,False,Grandmaster
Pank Han Byuf,1810,1,259,53,24,False,False,True,False,Grandmaster
Huânn,123,1,257,155,140,False,False,True,False,Grandmaster
s4n33,luv u,228,291,150,118,False,False,False,False,Grandmaster
TFT 369,TFT,38,511,110,93,False,False,True,True,Grandmaster
nghịch,4610,281,267,149,117,False,False,True,False,Grandmaster
Em Si Cay,Si3,47,317,107,87,False,False,True,True,Grandmaster
1234,manh,1,364,155,120,False,False,True,False,Grandmaster
captain pengu,254,575,275,97,75,False,False,True,True,Grandmaster
Thợ Thầy Nasus,VN2,264,408,271,231,False,False,True,False,Grandmaster
Daniel Le,hehe,227,505,124,87,False,False,True,True,Grandmaster
Acuris,daiia,360,288,130,105,False,False,True,True,Grandmaster
Việt Ú Ụ Ù U,2000,53,293,96,55,False,False,False,False,Grandmaster
T1 RAD B,RadB,248,341,171,123,False,False,True,False,Grandmaster
Thànhh bé tí,9562,503,316,207,199,False,False,True,False,Grandmaster
LinhNhi23,1504,1,317,171,130,False,False,True,False,Grandmaster
HNB Teddy,8888,84,268,137,105,False,False,True,False,Grandmaster
SimulatorNomis,VN2,571,311,146,114,False,False,True,False,Grandmaster
小风很帅,kev1n,173,349,103,60,False,False,True,True,Grandmaster
PainZephyr,Pain,207,439,187,162,False,False,True,True,Grandmaster
ping 35 sao choi,VN2,2,268,79,63,False,False,True,True,Grandmaster
huy cao11,VN2,59,418,91,49,False,False,False,False,Grandmaster
Nikate,7777,198,242,95,57,False,False,True,False,Grandmaster
TTN Kennn,VN2,19,375,113,91,False,False,True,False,Grandmaster
Vinhcrkh1999,VN2,24,259,83,51,False,False,True,False,Grandmaster
tool nek ok,linh,343,250,131,95,False,False,True,True,Grandmaster
CodyWade,2001,391,353,99,80,False,False,False,False,Grandmaster
NgườiRàTrơiGame,VN2,188,379,161,121,False,False,False,True,Grandmaster
Hồn Thiên Đế,cường,418,277,169,128,False,False,True,False,Grandmaster
7D challenge TFT,VN2,129,252,311,310,False,False,True,False,Grandmaster
Ezreal Không Ngu,1199,828,309,214,202,False,False,True,False,Grandmaster
BigEyes,20079,1,327,128,98,False,False,True,True,Grandmaster
con ech,vne,772,455,91,59,False,False,True,True,Grandmaster
ChiếcCặc Kì Diệu,VN2,76,433,267,224,False,False,True,False,Grandmaster
Lính cứu hỏa,9444,445,400,245,198,False,False,True,True,Grandmaster
dawgprov1p,0910,81,357,233,187,False,False,True,False,Grandmaster
dripking,VN2,178,401,216,196,False,False,False,False,Grandmaster
Dthieuu,0208,647,234,177,146,False,False,True,False,Grandmaster
Ken Và Sữa,VN2,363,331,233,182,False,False,True,False,Grandmaster
bờm1,1811,897,337,130,113,False,False,True,False,Grandmaster
Kim Jennie,VN1,480,336,128,109,False,False,False,False,Grandmaster
Hưng Ko Sú,1999,146,507,144,112,False,False,True,True,Grandmaster
queen gambit1,VN2,1,413,188,152,True,False,True,True,Grandmaster
Cobham Boy,Biao,84,359,125,118,False,False,True,False,Grandmaster
NhânDê,0403,50,310,102,64,False,False,True,True,Grandmaster
Khó cho Lobby,Rint,1,260,99,57,False,False,True,True,Grandmaster
Łµcífer,VN2,301,258,138,105,False,False,True,True,Grandmaster
16 Năm HSG,nnhoa,384,236,154,125,False,False,False,False,Grandmaster
VN NVK,91200,32,435,130,84,False,False,True,False,Grandmaster
V1nny1,19104,17,371,154,122,False,False,True,False,Grandmaster
KaiwaiiSa,3718,903,336,97,52,False,False,True,False,Grandmaster
EQG1004,3833,34,418,178,140,False,False,True,True,Grandmaster
ÁkWỹ95 Mid,1995,397,309,111,88,False,False,True,False,Grandmaster
zCTKzCAPRICORN,1912,248,243,129,97,False,False,True,True,Grandmaster
2BoomPháo1,VN2,1,248,91,61,False,False,True,False,Grandmaster
