Riot Games Name,Riot Games Tag Line,Summoner Level,Summoner Points,Summoner Wins,Summoner Losses,Is Veteran?,Is Inactive?,Is Fresh Blood?,Is Hot Streak?,Summoner Tier
Dexx,4850,75,583,166,152,False,False,True,True,Challenger
tuanjhg,1357,233,979,198,130,True,False,False,False,Challenger
Đu3,Du3,1,540,177,127,False,False,True,True,Challenger
M1QA,0602,145,854,241,183,True,False,False,False,Challenger
Niê H Ji,2000,26,773,202,175,False,False,True,True,Challenger
GK Imoogi,1809,469,661,193,146,False,False,True,True,Challenger
jlong25101,VN2,1,524,68,35,False,False,True,False,Challenger
rot,1000,28,851,217,160,True,False,False,False,Challenger
GD Khar1ch,611,145,795,180,147,False,False,True,False,Challenger
CogLee,2323,30,685,167,119,False,False,False,False,Challenger
Cerulean,VN23,465,618,196,162,False,False,True,True,Challenger
LuPin,Sữa,121,943,232,176,True,False,False,False,Challenger
Otto Ohoho,2309,144,948,117,74,False,False,False,False,Challenger
bópzúQuỳnhQuỳnh,9430,137,777,215,142,False,False,True,False,Challenger
Bigg,biggg,168,713,146,122,False,False,False,False,Challenger
Uppppp,VN2,337,572,142,108,False,False,True,False,Challenger
Duy Thu,1997,135,779,249,208,True,False,True,False,Challenger
Mobpsycho,6969,2,1213,187,119,True,False,False,False,Challenger
LDN,0109,39,554,178,147,False,False,False,False,Challenger
Oải Cả Chưởng,Dat,7,659,132,95,False,False,False,False,Challenger
Tú Đầu Bi,1996,1,1060,209,176,True,False,False,False,Challenger
Thích Thành Tâm,2103,208,721,130,80,False,False,True,False,Challenger
tienkafezo,8787,134,816,180,142,False,False,True,False,Challenger
Yiliu de siwei,1461,551,605,125,96,False,False,True,False,Challenger
DoubleN,D2N,516,639,171,157,False,False,False,False,Challenger
Berry T,92199,268,533,160,112,False,False,True,False,Challenger
KaicianLusa,2803,163,801,89,51,False,False,True,False,Challenger
Trung Vladimir,trung,325,1066,195,124,True,False,False,False,Challenger
FS Roll 7,phong,75,1005,194,150,True,False,False,False,Challenger
Dương Phạm HP,1902,1083,718,101,62,False,False,False,False,Challenger
ozin,1711,533,933,134,81,False,False,False,False,Challenger
ayekill,9385,76,550,128,99,False,False,True,True,Challenger
Đại Thi Hào DDG,Hihi,9,519,59,23,False,False,True,False,Challenger
Konjiki no Yami,2412,1,527,174,153,False,False,True,False,Challenger
NTTD,8894,122,537,103,88,False,False,True,False,Challenger
shiro neko,1002,429,737,223,175,False,False,False,False,Challenger
KND MinhBeso,1809,369,661,217,174,False,False,False,False,Challenger
dalton,4307,2,657,119,90,False,False,True,False,Challenger
Đường Tank,14082,456,630,224,167,False,False,True,False,Challenger
Crepe Sầuu Riêng,7701,191,677,114,69,False,False,True,False,Challenger
VN Khánh Ly,8583,408,641,191,164,False,False,True,False,Challenger
01 01 04,gemlz,291,746,199,188,False,False,True,True,Challenger
Bơ không béo,1309,698,525,229,206,False,False,True,True,Challenger
Đức Nguyên,DN19,386,675,212,167,False,False,True,True,Challenger
QQQQTàiQQQQ,VN2,27,524,152,111,False,False,True,True,Challenger
Squishy Tới Chơi,Hyy,280,574,181,132,False,False,True,False,Challenger
D U K I H A N 1,666,672,1177,138,88,False,False,False,True,Challenger
SukiReiichi,0112,35,809,190,107,True,False,False,False,Challenger
Thắng Họ Đỗ,2908,419,537,185,159,False,False,True,True,Challenger
ElIlSEN,666,45,884,161,112,False,False,True,False,Challenger
Lê Thành Đạt,1234,17,521,136,118,False,False,True,False,Challenger
NVT Gwen,9999,375,781,202,144,False,False,False,False,Challenger
Jeff Justin,06073,200,673,124,83,False,False,True,True,Challenger
Park Jae Hyeok,Ruler,557,531,202,177,False,False,True,False,Challenger
Liebert,8888,124,1006,187,138,False,False,False,True,Challenger
Shenobi,Wind,583,525,98,62,False,False,True,False,Challenger
buồn ngủ,0311,453,610,122,86,False,False,False,False,Challenger
Destiny,Omega,245,516,190,141,False,False,True,False,Challenger
Minako Aino,2935,465,762,162,120,False,False,False,True,Challenger
Phú Ngao,NSHH,494,554,79,46,False,False,True,False,Challenger
F F F F N Y A N,2610,209,555,133,102,False,False,True,True,Challenger
chinhquytinhnhue,d3e25,148,522,91,54,False,False,True,True,Challenger
E D 1 T H,EDITH,606,590,137,105,False,False,True,False,Challenger
Hà Vân Phong,22035,119,582,122,81,False,False,True,False,Challenger
Is Ke7777,VN2,2,547,288,257,False,False,True,False,Challenger
270399,vn11,67,592,167,124,False,False,True,False,Challenger
Đủ Có Chã,2618,267,652,185,162,False,False,False,True,Challenger
palirt,1906,818,540,89,58,False,False,True,False,Challenger
pk1,aaaaa,71,1166,177,110,True,False,False,True,Challenger
Fom,2307,243,552,222,182,True,False,False,False,Challenger
17None2,0217,1,625,88,57,False,False,True,False,Challenger
Hanni di top,10064,707,936,258,209,False,False,True,False,Challenger
VNgLinhNhi,VN2,104,699,180,146,False,False,True,False,Challenger
Bố của bé Sữaa,VN2,95,582,115,81,False,False,True,False,Challenger
Anh Xe Ôm 69K,VN2,313,894,187,145,True,False,False,False,Challenger
HNZ MIDFEED,2002,23,1319,173,89,True,False,False,False,Challenger
W00As,VN2,30,563,150,119,False,False,True,True,Challenger
Tuấn,15119,291,573,137,113,False,False,True,True,Challenger
Hatocchopro,6015,225,721,217,187,False,False,True,True,Challenger
Dasno,VN2,39,821,269,226,True,False,False,False,Challenger
ShmilyHN,2003,234,560,223,169,False,False,True,True,Challenger
Không Còn Em 1,23101,17,518,210,163,False,False,True,True,Challenger
pyuupnpay,yuna,521,730,133,110,False,False,False,False,Challenger
QUANG 17 TB,7066,314,656,204,176,True,False,False,False,Challenger
Con Sâu Hoà Bình,3660,383,723,216,186,False,False,True,False,Challenger
MG Vianne,maiiu,395,539,148,115,False,False,True,False,Challenger
apu,999,1,889,180,120,True,False,False,False,Challenger
TheOriginal,8640,2,618,156,133,False,False,True,True,Challenger
Đần Đần,999,328,566,208,175,False,False,True,False,Challenger
FS Kenzou,1609,12,789,236,188,False,False,True,False,Challenger
p T K19,VN2,2,644,184,181,False,False,True,False,Challenger
Võ Tín Nhân,VN2,750,519,281,232,False,False,True,False,Challenger
AOE MALONG 94,VN2,89,668,228,196,False,False,True,False,Challenger
BoSieuRiii,88888,531,997,175,121,False,False,False,True,Challenger
ducminhdz,001,393,862,185,134,False,False,False,False,Challenger
Mozart,818,591,1067,209,140,True,False,False,False,Challenger
vux,nvx,190,1010,174,118,True,False,False,True,Challenger
Vĩnh Quý,1412,603,527,99,69,False,False,True,True,Challenger
SVM Xuân Chính,VN2,3,534,175,123,False,False,True,False,Challenger
Maidenless,NTR,506,514,72,36,False,False,True,True,Challenger
Souless,6320,295,828,131,105,False,False,False,False,Challenger
NG InKaa,2707,56,1142,193,132,True,False,False,False,Challenger
NguyenPro,123,22,630,104,58,False,False,True,True,Challenger
NAxQuivo,VN2,7,637,207,172,False,False,True,False,Challenger
Đình Tuấn,2410,581,916,147,81,False,False,False,True,Challenger
hhainam,VN2,40,516,76,41,False,False,True,False,Challenger
QThien1,777,25,705,151,121,False,False,False,True,Challenger
04061997,04061,2,601,270,247,True,False,False,False,Challenger
HaUI ĐánhMấtEm,1234,243,964,160,121,True,False,False,False,Challenger
3 letter 8 words,1395,49,818,124,68,False,False,False,True,Challenger
Mạnh Chim Ưng,mcu,2,1005,208,140,True,False,False,False,Challenger
TVQ 1,TVQ1,89,962,216,156,True,False,False,False,Challenger
Noob Guy,VN2,301,589,231,202,True,False,False,False,Challenger
m1se,1506,315,836,150,109,False,False,False,False,Challenger
Khoái Ngực Lépp,0505,98,544,133,98,False,False,False,False,Challenger
YMAH,VN2,1,743,200,156,False,False,True,False,Challenger
Anh Šai Rồï,Hung,269,731,133,89,False,False,False,False,Challenger
Frog Cao thủ,2004,23,544,166,133,False,False,True,False,Challenger
52B DQN,2000,185,520,78,39,False,False,False,True,Challenger
T1 ANHLONG,long,538,740,291,247,False,False,True,False,Challenger
GD K1ng,3010,306,743,188,125,False,False,False,False,Challenger
năm tám nếch tơn,VN2,651,739,260,229,False,False,True,False,Challenger
Pythrasse,1545,605,701,112,80,False,False,True,True,Challenger
Arena of Đ,VN2,155,691,163,137,False,False,False,True,Challenger
Sol La Shi,1808,320,734,220,183,False,False,False,False,Challenger
Merascylla Ban,VN2,217,638,183,151,False,False,True,False,Challenger
NG Bunnyy,3n0d,12,649,150,110,False,False,False,True,Challenger
DTS Dylan,VN2,387,513,118,77,False,False,False,False,Challenger
KẻThứcThời,Phuoc,289,772,162,118,False,False,True,False,Challenger
GD nvdzz,nvdzz,5,518,144,118,False,False,True,False,Challenger
10pro95,5727,439,588,196,157,False,False,True,False,Challenger
Hải Nam Nguyễn,hnam,420,721,112,72,False,False,True,True,Challenger
NuocDaiTinhKhiet,NDTK,291,868,101,70,False,False,False,False,Challenger
Anh 5 Sì Gòn,1997,204,565,275,235,False,False,True,False,Challenger
beerus,10085,1,695,155,111,False,False,True,True,Challenger
youngboy flexing,1411,465,1008,165,99,True,False,False,False,Challenger
VN KOS GiàMàNon,VN2,1,683,186,139,False,False,True,False,Challenger
Bớt Khóc Đi,VN2,370,838,155,121,False,False,True,False,Challenger
Perfaketo,808,359,1346,150,98,True,False,False,False,Challenger
Dean,1711,563,619,141,108,False,False,True,True,Challenger
Ông bố tuổi 25,HGVN2,2,826,265,201,True,False,False,True,Challenger
TFA Hải An sosad,3009,241,642,171,143,False,False,True,True,Challenger
DepTrai1Th,VN2,427,534,131,97,False,False,True,False,Challenger
No1 obby,BB1,307,710,108,69,False,False,True,True,Challenger
Orpheus Duck,3108,332,515,143,96,False,False,True,False,Challenger
K3kyo,5750,592,1023,175,130,True,False,False,False,Challenger
KND Khan,1001,977,860,182,127,True,False,False,False,Challenger
manhnguyennnnnn1,VN2,63,693,189,149,False,False,False,False,Challenger
tungpro523,VN2,593,527,118,80,False,False,True,False,Challenger
UDD Noth1ngness,00000,608,633,170,124,False,False,True,True,Challenger
HLG Fifi,1005,249,1008,222,138,True,False,False,False,Challenger
280199,VTT,60,1512,190,124,True,False,False,False,Challenger
KND iCynS,GYJ,21,747,131,92,False,False,False,False,Challenger
Aokiiiiii,VN2,7,675,184,153,False,False,True,False,Challenger
Kamisato Ayaka,2521,126,590,95,69,False,False,True,False,Challenger
KND Finn,2205,425,629,136,101,False,False,False,False,Challenger
DLoi no Luv,DLoi,539,528,106,71,False,False,True,True,Challenger
Tụy,2000,220,579,129,104,False,False,True,False,Challenger
GOdDaW,VN2,2,656,144,97,False,False,True,False,Challenger
RF Emptyy,VN2,292,1224,183,114,True,False,False,False,Challenger
met vailz,LwD,23,537,122,88,False,False,True,False,Challenger
HnZ Maris,Maris,630,1695,171,74,False,False,False,False,Challenger
Xmate,2002,10,570,118,81,False,False,True,False,Challenger
Maybenexttime,Siam,77,674,151,115,False,False,False,False,Challenger
HoWinterCat,VN2,372,599,96,54,False,False,True,False,Challenger
Ging,1102,252,523,97,70,False,False,True,True,Challenger
tidien,VN2,341,678,106,61,False,False,False,False,Challenger
SVM CườngTĐ,1811,352,568,108,83,False,False,True,False,Challenger
ZerefTMT,0501,34,523,138,91,False,False,True,False,Challenger
HNB  sơnsmaillJP,12345,63,797,140,82,False,False,True,False,Challenger
Glory ManUnited,VN2,65,546,183,129,False,False,True,False,Challenger
Death a shadow,VN2,125,617,121,96,False,False,True,True,Challenger
Rei,0306,573,625,109,68,False,False,True,False,Challenger
LacDauVaDiRaaa,VN2,1,606,163,121,False,False,True,False,Challenger
GD Xa Lánh,VN2,371,755,151,112,False,False,True,False,Challenger
Aokiji,2406,630,746,152,119,False,False,True,False,Challenger
Xavier,HY671,221,516,86,53,False,False,True,True,Challenger
Hai Hac Hoa,2009,1,706,238,212,True,False,False,False,Challenger
Phếch cờ,VN1,465,546,176,135,False,False,True,False,Challenger
Yasuo Không Q,Doong,44,910,177,127,True,False,False,False,Challenger
NG Yugi,0707,551,1274,197,146,True,False,False,True,Challenger
Mory99,VN2,203,560,139,99,False,False,True,False,Challenger
JP Yuushin,VN2,41,557,119,91,False,False,True,False,Challenger
Mai Hương day,2002,297,1013,186,148,True,False,False,True,Challenger
HungiTT,1607,185,624,220,195,True,False,False,False,Challenger
Whyksosad,1607,747,743,132,98,False,False,False,False,Challenger
Nhoccute2,123,21,1196,151,73,False,False,True,True,Challenger
NBH Yag,123,672,736,183,142,False,False,True,False,Challenger
Capta1n Wind,2605,701,514,156,136,False,False,True,False,Challenger
Cupid,Sir,272,701,156,102,False,False,True,False,Challenger
KIDminusFebruary,VN2,48,555,267,239,False,False,True,False,Challenger
FNG Anh Bê Quá,VN2,209,727,163,133,False,False,True,False,Challenger
phongbc,1999,225,867,186,156,False,False,False,True,Challenger
P100,1111,497,853,204,151,False,False,True,False,Challenger
Em Tú Nai Sừ,2002,291,726,190,157,False,False,True,False,Challenger
Marcus Ibin,0001,111,556,219,177,False,False,True,False,Challenger
thanhtran21,2005,5,746,161,125,False,False,True,False,Challenger
Suki1,6666,13,889,161,102,False,False,False,False,Challenger
Con Chim kì cục,VN2,264,686,303,269,False,False,True,True,Challenger
Jos Min Hieu,josh,395,541,135,95,False,False,True,False,Challenger
YBY1,YBY1,25,1429,134,49,True,False,False,False,Challenger
khacmanh20,2011,304,1036,164,114,False,False,False,True,Challenger
Thero nèe,trung,9,638,121,94,False,False,True,False,Challenger
Vanphuoc,1211,305,572,126,63,False,False,True,True,Challenger
52B LHA,7744,25,586,131,78,False,False,True,False,Challenger
zTopTFTzBG,VN2,2,651,216,175,False,False,True,False,Challenger
Bún Bò Huế,3333,438,612,184,151,False,False,True,False,Challenger
HNB HUSY,1245,107,670,237,205,False,False,True,False,Challenger
ChờEmHaoGầy,7520,446,625,118,86,False,False,True,False,Challenger
SWT Manjarou,1604,312,811,176,150,False,False,True,True,Challenger
Bboy1,0204,210,729,123,86,False,False,False,False,Challenger
Huy021105,Huy02,1,665,197,152,False,False,True,False,Challenger
52B Hoàng Phi Nè,VN22,1,564,126,93,False,False,True,False,Challenger
Dlwlrma1,1407,26,705,174,135,False,False,False,False,Challenger
17th August,ta97,160,517,213,164,False,False,True,False,Challenger
Noisy,sad,350,725,132,94,False,False,False,False,Challenger
KaioŠhin,B6G,419,528,183,157,False,False,True,False,Challenger
Cánh Cụt Hụt Hơi,10598,463,1091,190,119,True,False,False,False,Challenger
ßig,ßang,347,519,279,241,False,False,True,False,Challenger
LD Bin,VN2,163,526,125,102,False,False,True,True,Challenger
Ngọc 6 Múi,139,445,773,79,36,False,False,False,False,Challenger
Alive1,1234,516,1128,217,152,True,False,False,False,Challenger
FEED,2712,10,1056,120,55,False,False,False,False,Challenger
Hqh1,2512,1,1229,123,57,False,False,True,False,Challenger
HienXam2k,2000,382,979,132,78,False,False,False,False,Challenger
D Linh Thor,VN2,3,591,180,137,False,False,True,True,Challenger
y0ung itach1,pnsky,374,513,119,88,False,False,True,True,Challenger
HoangNhatAnh,1101,507,899,160,108,False,False,False,False,Challenger
B4kk1es,NTL,2,652,162,125,False,False,True,False,Challenger
Megalodon,MEGV,326,819,165,126,False,False,True,False,Challenger
Đẳng Cấp 37,VN2,1,654,234,205,False,False,True,False,Challenger
hoangstm1999,stmtv,256,1120,200,130,True,False,False,False,Challenger
YYGYOUNG,6072,50,530,111,75,False,False,True,False,Challenger
Ngữ Yên,0306,440,730,169,130,True,False,False,False,Challenger
Đầy Royal,Kingz,124,689,128,79,False,False,True,False,Challenger
yunmaybe,6262,383,1048,117,66,False,False,False,False,Challenger
Cương Đang Suy,9779,82,944,236,176,True,False,False,False,Challenger
蓝天帝,llaih,465,646,126,87,False,False,True,False,Challenger
toneri,htt,612,540,167,148,False,False,True,False,Challenger
lemonss,tft,688,594,229,186,False,False,True,True,Challenger
cbbo,1005,639,554,163,109,False,False,True,False,Challenger
MrPe0,16Tee,446,548,203,179,False,False,True,False,Challenger
Huo Linger,msh,189,574,170,126,False,False,False,False,Challenger
oach xa lach vkl,9126,351,551,75,41,False,False,True,True,Challenger
OMG Hưngđepzai,12345,645,841,188,135,False,False,True,False,Challenger
Hít Được 1Hand,VN2,526,575,109,63,False,False,False,False,Challenger
ramen tuesday,001,503,1806,171,86,True,False,False,True,Challenger
hảd,4701,479,816,240,191,False,False,False,False,Challenger
FTF Tèo,2001,40,579,280,248,False,False,True,True,Challenger
Setsuko,3983,13,963,288,232,True,False,False,False,Challenger
hongduc2,2000,10,1071,103,48,False,False,False,False,Challenger
Thắng Cận,VN2,423,570,159,129,False,False,False,True,Challenger
289 Gaming,VN2,324,525,350,281,True,False,False,False,Challenger
Twinkling Whales,CVLL,14,722,170,146,False,False,False,False,Challenger
p1va,0610,425,1594,111,46,False,False,False,True,Challenger
d D NeKi D d,VN2,1,954,223,129,True,False,False,False,Challenger
November Rain,1011,515,598,103,68,False,False,False,False,Challenger
Nút D Mạ Zàng,VN2,353,561,165,137,False,False,True,False,Challenger
tempnwkzhdrjhjvt,VN2,546,624,203,149,False,False,True,False,Challenger
em phong,VN2,118,567,236,203,False,False,True,False,Challenger
hwng,00000,1,837,140,92,False,False,False,True,Challenger
ZolHa,VN2,570,559,126,80,False,False,False,False,Challenger
Pucca,htv,553,602,142,100,False,False,True,False,Challenger
KND k1an,2606,22,604,153,106,False,False,False,False,Challenger
Dyyyy,0611,396,526,133,106,False,False,False,False,Challenger
B ơ,9999,91,697,176,146,False,False,True,False,Challenger
Asta1,0497,921,1152,144,71,True,False,False,False,Challenger
SVM LâmLouis,1107,246,1006,180,144,True,False,False,False,Challenger
Gõ Đầu Được Zn,getup,56,681,105,57,False,False,True,True,Challenger
TTH299,1994,165,989,174,130,False,False,True,False,Challenger
GD Shaw1,2110,217,1446,253,175,True,False,False,True,Challenger
daisyrealmango,daisy,435,519,99,59,False,False,True,False,Challenger
NG Poo,2307,117,920,244,202,False,False,True,True,Challenger
Vaus,23032,54,651,158,125,False,False,True,True,Challenger
SVM Kim,2503,91,720,129,95,False,False,True,False,Challenger
Dante,11TFT,407,712,208,155,False,False,False,False,Challenger
Cảm Xúc Xa Dần,VN2,335,515,275,232,False,False,True,False,Challenger
severthaidinh,5132,11,970,268,210,True,False,False,False,Challenger
Nam Thành,9797,232,514,158,140,False,False,True,False,Challenger
Xayah Thiên Thần,Xayah,170,524,122,81,False,False,True,False,Challenger
Zaiwayyy,1996,63,535,229,171,False,False,True,True,Challenger
Đi Mid Bu Win,VN2,164,592,100,65,False,False,True,False,Challenger
give you my love,hieu,478,526,131,107,False,False,True,False,Challenger
Dịch Vụ Mai Tág,2111,437,538,225,194,False,False,True,False,Challenger
Độc Cô Cầu Bạy,VN2,524,640,194,168,True,False,False,False,Challenger
Never Give Up,1301,223,542,134,106,False,False,True,False,Challenger
HighRoll,1811,102,574,182,148,False,False,True,True,Challenger
cong an danh dan,nbbbb,42,564,184,146,False,False,True,False,Challenger
Betterme,0411,64,939,155,118,False,False,True,True,Challenger
Vuong AKWUY,Gay,2,521,204,172,False,False,True,False,Challenger
yêu 10 em 1 lúc,1004,161,647,204,157,False,False,False,False,Challenger
Tiger1,188,175,1140,207,134,True,False,False,False,Challenger
NYVK,1997,2,567,208,170,False,False,True,False,Challenger
吻 吻,Kiss,228,812,145,116,False,False,True,False,Challenger
wgwgwabtwkg,1496,237,807,166,121,False,False,True,False,Challenger
em thành ác gủy,choke,63,538,185,150,False,False,True,False,Challenger
Phụng Hoàng Nho,Kphap,625,569,216,185,False,False,True,False,Challenger
12664,9207,436,540,165,125,False,False,True,True,Challenger
Purple Kuzh,VN2,224,611,112,80,False,False,True,True,Challenger
Lyy Haeryun,VN2,716,533,155,121,False,False,True,True,Challenger
7 úp,VN6,179,687,177,128,False,False,False,False,Challenger
BestWishForYou,3872,36,545,149,117,False,False,True,False,Challenger
tienphong,kaze7,394,636,123,89,False,False,True,True,Challenger
P2W Chup xH,12822,82,538,170,130,False,False,True,False,Challenger
T1 Smeb,VN2,57,514,113,90,False,False,True,False,Challenger
NHUNG KÒI,VN2,341,575,165,124,False,False,True,True,Challenger
Skippy,ech,303,685,108,65,False,False,True,True,Challenger
icyy,284,337,528,115,92,False,False,True,False,Challenger
B o n h e u r,bon,485,660,181,145,False,False,True,False,Challenger
DuHy,26066,2,608,105,71,False,False,False,True,Challenger
Phá Nấu Hà Béo,0711,144,608,136,73,False,False,False,False,Challenger
trinhnguyendldn2,VN2,1,575,238,173,False,False,True,False,Challenger
Đại Pro Vip Kute,VN2,496,810,313,291,True,False,False,False,Challenger
Ty Thành,5468,142,666,148,95,False,False,True,True,Challenger
M12,VN12,207,558,161,127,False,False,False,False,Challenger
ºThành,VN2,194,624,137,102,False,False,False,False,Challenger
Mad Đô,maddo,393,514,145,122,False,False,True,False,Challenger
maile1,2005,356,738,103,70,False,False,True,False,Challenger
OP Chase,0612,499,588,174,145,False,False,False,False,Challenger
VLB Đình Dũng 09,VN2,193,612,160,139,False,False,True,False,Challenger
yeu em dai kho,p0907,179,520,127,75,False,False,True,True,Challenger
1 More Bullet,77777,332,720,145,112,False,False,True,False,Challenger
A N U B I S,1610,42,524,114,96,False,False,False,False,Challenger
8 Tháng 10,7879,2,550,148,112,False,False,True,True,Challenger
TTV OolongTime,VNM,272,926,188,154,False,False,True,False,Challenger
HaoreddogxC,11599,198,691,164,133,False,False,True,False,Challenger
ZhangFeii,1293,2,771,246,209,False,False,True,False,Challenger
Trụi nè,VN2,271,542,175,153,False,False,True,True,Challenger
Chamberchoico,TFT,2,833,158,108,True,False,False,True,Challenger
FS Bánh Xíu Páo,onehl,231,1099,184,110,True,False,False,False,Challenger
CaIImeGe0,Namle,1,684,179,143,False,False,True,False,Challenger
nghiaso2kaiso1,88888,171,567,111,74,False,False,True,False,Challenger
Demon,otis,16,728,109,65,False,False,True,False,Challenger
Yami,SF0,577,646,100,66,False,False,True,False,Challenger
Tuyetxinhgai,24421,398,519,134,109,False,False,True,False,Challenger
July Ngoo,6796,67,531,140,99,False,False,True,False,Challenger
tui quá già rùi ,VN2,581,532,195,153,False,False,True,True,Challenger
CGC,1989,396,584,153,105,False,False,True,False,Challenger
Arizona K,2607,266,587,148,111,False,False,True,False,Challenger
headache,1903,5,602,249,210,False,False,True,False,Challenger
ggwen,denvl,349,538,192,133,False,False,False,False,Challenger
stillness,0910,324,1424,204,137,True,False,False,True,Challenger
MùaThu Đó A có E,Huydz,493,544,205,170,False,False,True,True,Challenger
Cườngggg,782,229,699,134,104,False,False,True,False,Challenger
Sibalamaa,999,282,528,204,170,False,False,True,False,Challenger
Boring Man,2601,232,239,125,87,False,False,True,True,Grandmaster
mazi oki doki,hehe,573,318,123,80,False,False,True,False,Grandmaster
Perfect x Avitas,420,158,237,204,162,False,False,True,False,Grandmaster
painw,CANVU,545,405,184,178,False,False,True,True,Grandmaster
lose den chet,hung,26,236,226,204,False,False,True,False,Grandmaster
01071998,19298,551,474,263,230,False,False,True,True,Grandmaster
NAĐứcTrần,2504,309,313,133,98,False,False,True,False,Grandmaster
Hủy Diệt Nụ Cười,VN12,518,501,122,92,False,False,True,False,Grandmaster
小国王,0801,65,362,253,217,False,False,True,True,Grandmaster
Hầm ngon vãi ò ò,VN2,232,349,159,125,False,False,True,False,Grandmaster
KiếmTôiĐâuRồi111,4950,67,296,199,171,False,False,True,False,Grandmaster
Bellowz,BLWZ,297,318,126,86,False,False,True,False,Grandmaster
FinFin141,mx98,158,303,248,220,False,False,True,False,Grandmaster
TonYKL,3108,165,361,130,104,False,False,False,False,Grandmaster
Biết anh Linh ko,1999,122,243,115,84,False,False,True,False,Grandmaster
Zenn TCH,217,415,233,154,128,False,False,True,False,Grandmaster
thebreaker,00037,393,263,81,56,False,False,True,False,Grandmaster
L E E J U N N,VN145,256,300,115,97,False,False,True,True,Grandmaster
VN Ninh TFT,1998,264,445,134,106,False,False,True,True,Grandmaster
Duy20centimet,9062,135,410,255,221,True,False,False,False,Grandmaster
Em Thành Xóm 2,4274,491,261,101,59,False,False,False,False,Grandmaster
Tran Tan Tan,167,325,388,156,126,False,False,False,True,Grandmaster
Tempered Fate,Bis,672,246,171,143,False,False,True,False,Grandmaster
HadesS,2409,91,508,269,243,False,False,True,False,Grandmaster
huhugi26,VN2,651,344,110,87,False,False,False,False,Grandmaster
BurNIng,燃烧的心,483,408,156,129,False,False,False,False,Grandmaster
Ban Ni Chon,VN2,2,303,161,130,False,False,True,True,Grandmaster
Bae Suzy,mdp,232,267,78,65,False,False,False,False,Grandmaster
Dee,3778,45,317,130,104,False,False,True,False,Grandmaster
Yor Dâu,1110,588,261,127,87,False,False,True,False,Grandmaster
1900,1000,642,457,125,80,False,False,True,False,Grandmaster
TắtTiếngChơiGame,2670,23,283,105,75,False,False,False,False,Grandmaster
VN DVH TFT,VN2,109,233,103,59,False,False,True,True,Grandmaster
Dũng Hà Lan,12345,316,294,75,54,False,False,True,False,Grandmaster
Cronuss,9927,166,251,93,58,False,False,True,True,Grandmaster
Libur,LMAO,571,508,139,115,False,False,True,True,Grandmaster
Quang Anh,01996,11,318,199,170,False,False,True,False,Grandmaster
Fallen,50Y1,1,255,133,103,False,False,True,True,Grandmaster
TSS V,0410,129,264,89,53,False,False,True,False,Grandmaster
KidsKids,KidsK,31,245,173,134,False,False,True,False,Grandmaster
Days Of Summer,17015,372,276,201,160,False,False,True,True,Grandmaster
Spr1ngForest,SF03,198,340,79,43,False,False,True,False,Grandmaster
Master mùa 10,VN2,1,306,106,63,False,False,True,False,Grandmaster
H 21 14 7,yolo,358,340,105,78,False,False,True,False,Grandmaster
KaitouC,2003,38,447,207,185,False,False,True,False,Grandmaster
SameHz,2163,543,258,190,165,False,False,True,False,Grandmaster
JVCP,2003,35,305,150,131,False,False,True,False,Grandmaster
VIEneyU,0101,292,426,172,137,False,False,True,False,Grandmaster
rat met nguoi,VN2,383,405,158,121,False,False,True,False,Grandmaster
Hansell 2015,VN2,537,234,124,88,False,False,True,False,Grandmaster
i8 Emoco,binh,453,401,214,173,False,False,True,False,Grandmaster
Eve,Sumi,332,268,210,172,False,False,True,False,Grandmaster
Duk1ee,8296,6,311,158,132,False,False,True,True,Grandmaster
Only Khánh,3108,128,268,136,108,False,False,True,False,Grandmaster
hungdeivoyageur,xyz,288,512,155,118,False,False,True,False,Grandmaster
Coolads,2501,354,242,183,154,False,False,True,False,Grandmaster
Trúc Và Lux,2806,444,244,88,53,False,False,True,False,Grandmaster
ra gì đánh nấy,2123,455,412,304,284,False,False,True,False,Grandmaster
LKDui,1009,172,275,113,82,False,False,True,False,Grandmaster
Luv BaeSuzy ,VN2,220,396,101,59,False,False,True,False,Grandmaster
Asinnt,Black,413,327,140,106,False,False,True,True,Grandmaster
VN Bear,1998,113,338,116,83,False,False,True,False,Grandmaster
lnv0k3r,2509,1,257,120,96,False,False,True,False,Grandmaster
FH Sam,1997,289,279,111,96,False,False,True,False,Grandmaster
Suku,HuyMe,43,463,304,271,False,False,True,False,Grandmaster
bqxyz,VN2,316,268,124,92,False,False,True,False,Grandmaster
19th Novemberr,VN2,3,475,115,92,False,False,True,False,Grandmaster
K1 NoaTTTT,Toan,517,431,94,62,False,False,True,True,Grandmaster
anh suy quaa,VN2,231,326,113,69,False,False,True,False,Grandmaster
Quisss,VN2,528,411,130,97,False,False,False,False,Grandmaster
Võ Đế,1986,242,265,85,49,False,False,True,False,Grandmaster
TrườngThoại,VN2,166,292,96,69,False,False,True,True,Grandmaster
Em Văn vui vẻ ,VN2,580,346,155,117,False,False,True,False,Grandmaster
SpookyCookies,4132,242,331,71,33,False,False,True,True,Grandmaster
JoLakaLB,VN2,1,305,169,133,False,False,True,False,Grandmaster
Bác Sĩ Siêu Âm,cdha,7,439,151,102,False,False,True,False,Grandmaster
Charybdis,2210,535,447,129,94,False,False,True,False,Grandmaster
20  October 99,VN2,69,279,112,94,False,False,True,True,Grandmaster
