Riot Games Name,Riot Games Tag Line,Summoner Level,Summoner Id,Summoner Name,Summoner Points,Summoner Rank,Summoner Wins,Summoner Losses,Is Veteran?,Is Inactive?,Is Fresh Blood?,Is Hot Streak?,Summoner Tier
Ken Và Sữa,VN2,363,gdKmNXW7a0EaUu5I6l8Nk5TFA-Oo0NRQqRmEBNWCCsRpuuMLZFFF4PNPTw,Ken Và Sữa,331,I,233,182,False,False,True,False,Grandmaster
bờm1,1811,897,pqwYJcrC-NKbB1QOE-GQu7P_T2EgVgr15hXV9FLiKNdRr4YDzhJumQXQ7A,Bờm111,337,I,130,113,False,False,True,False,Grandmaster
Kim Jennie,VN1,480,WEe2Wy_lmJ6FaI7HIcp226tzUcr8_svRFLI_gT2KjPLTDtG0Sz9i1XdqPg,em oi dung lai,336,I,128,109,False,False,False,False,Grandmaster
Hưng Ko Sú,1999,146,cY-axnnY_SbOXxDy-e9JKAkBAO-7JcGHRnpyXeDfORgGngXYuU7RGwtU3A,Hưng Ko Sú,507,I,144,112,False,False,True,True,Grandmaster
queen gambit1,VN2,1,JGOOguqOpkW885_sdDxL0Ww5o2VRFih5aU9jknimHr9aCEmfypjS__NsLg,queen gambit1,413,I,188,152,True,False,True,True,Grandmaster
Cobham Boy,Biao,84,rj06Y-o6fTdu9xzl1BqlTEQycK7t0fDJIXIW1dyTDeHWVOiK8-eosDDIIw,Cobham Boi,359,I,125,118,False,False,True,False,Grandmaster
NhânDê,0403,50,YtQT8ahGyayJoFf1WoSlmTB4HwBklFz_aQpmMmnzMZdvbMvfj443vcMyHA,NhânDê,310,I,102,64,False,False,True,True,Grandmaster
Khó cho Lobby,Rint,1,gkQiEqQ4rL5LbRpabRe8QhAYUd8Q2OjWebl5mB88LwKbiHxGuZuWWF-cGQ,10 mau cam xuc,260,I,99,57,False,False,True,True,Grandmaster
Łµcífer,VN2,301,i0571oVWLk8ys0GTvS_WwkI3twRbwpwsHfXThMylq1nfYfyxfvSwNcKsTg,Łµcífer,258,I,138,105,False,False,True,True,Grandmaster
16 Năm HSG,nnhoa,384,1203ipCy5SEZtwdWWp9f_UMNlgLCoxJs7CeXnL1cOSJTlBYf9Q3T9uf1eg,16NămHọcSinhGiỏi,236,I,154,125,False,False,False,False,Grandmaster
VN NVK,91200,32,mWhnw3-p1arqqiCSrZC0F6cGRkbbFylrmnCilMeR2Pjiwi19E5hBz_nS8w,JDG Marin,435,I,130,84,False,False,True,False,Grandmaster
V1nny1,19104,17,LqPGm7z5wwX0Hg0u3LbAh-A0th8qePXPHj6e4WTaFaiRPT8QoOOC1jDgkg,ngdat19,371,I,154,122,False,False,True,False,Grandmaster
KaiwaiiSa,3718,903,Lyr1pbW27q-yLLDJG9JmDxwyIAV_CJKBDJ14nZ-yZk2mQqao-YHk-ragTg,GumaUsee,336,I,97,52,False,False,True,False,Grandmaster
EQG1004,3833,34,T3KKxvRK6WMw-bPb24gJAg_eXk0I_I-R0zPWMMaceqNXuW2ZdzHY8NGGmQ,D4TL3Reverse,418,I,178,140,False,False,True,True,Grandmaster
ÁkWỹ95 Mid,1995,397,NjEGB2jv09YnqG1oPqxm6yGUuFygmq0PXAyBrR5Y3xkZOScddVWQwMAUBw,ÁkWỹ95 Đi giữa,309,I,111,88,False,False,True,False,Grandmaster
zCTKzCAPRICORN,1912,248,ODltCfA_72IdqbXZ9C7viF3AglH5V1-ksUJLbbQkKX316_SilfnV5lz0Gw,Hectorious,243,I,129,97,False,False,True,True,Grandmaster
2BoomPháo1,VN2,1,U7qWqNYZuDazPFhQbV0hK44hqG445a_vgEUtOZajwI1eCxbikd1q1jrWRw,2BoomPháo1,248,I,91,61,False,False,True,False,Grandmaster
